accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2018-10-19,14:48:48,ศรีรัช,ปกติ,0,0,0,0,ก้มเก็บของ
2019-07-03,16:02:02,ศรีรัช,ปกติ,1,0,0,0,ก้มหาเงินค่าผ่านทาง
2019-08-18,11:02:02,ศรีรัช,ปกติ,0,0,0,0,ขับชิดมากเกินไป
2019-08-27,11:41:41,ศรีรัช,ปกติ,0,0,0,0,-
2018-12-15,14:41:41,ศรีรัช,ปกติ,0,0,0,0,ขับชิดขอบทางซ้าย
2019-06-27,09:17:17,ฉลองรัช,ปกติ,4,0,0,0,รอตรวจสอบ
2019-05-14,07:49:49,ฉลองรัช,ปกติ,0,0,0,0,เหม่อลอย
2019-07-11,09:33:33,ฉลองรัช,ปกติ,0,0,0,0,ขับกระชั้นชิด
2019-01-20,14:35:35,ฉลองรัช,ปกติ,0,0,0,0,ขับชิดคันหน้ามากเกินไป
2019-05-03,04:48:48,ฉลองรัช,ปกติ,1,0,0,0,เสียหลัก
2019-02-21,07:45:45,ฉลองรัช,ปกติ,0,2,0,0,ยางแตก
2019-07-10,08:10:10,ฉลองรัช,ปกติ,0,0,0,0,ขับขี่กะชั้นชิดเกินไป
2019-08-10,02:29:29,ฉลองรัช,ปกติ,0,0,0,0,ย้อนทางเข้าด่าน
2019-05-04,12:38:38,ฉลองรัช,ปกติ,0,0,0,0,มีเก้าอี้ตกหล่น
2018-11-22,03:53:53,ฉลองรัช,ปกติ,1,0,0,0,รองเท้าเบ้าไปขัดขาเบรค
2019-03-21,04:17:17,ฉลองรัช,ปกติ,0,0,0,0,ขับรถย้อนทางมาจากทางลงสุขุมวิท
2019-06-21,17:00:00,ฉลองรัช,ปกติ,0,0,0,0,ขับรถช้าลง
2019-09-05,21:34:34,ฉลองรัช,ปกติ,0,0,0,0,ก้มเก็บของ
2018-12-06,12:27:27,ฉลองรัช,ปกติ,1,1,0,0,มีรถจอดเสียช่องกลาง ชนท้าย
2018-11-25,05:39:39,ฉลองรัช,ปกติ,0,0,0,0,จอดในช่องเดินรถซ้าย
2019-09-30,10:05:05,ฉลองรัช,ปกติ,0,2,0,0,ก้มเก็บโทรศัพท์
2018-10-03,13:47:47,บูรพาวิถี,ปกติ,1,0,0,0,ยางแตก
2018-10-25,15:01:01,บูรพาวิถี,ปกติ,0,0,0,0,เบรคแตก
2018-12-15,03:48:48,บูรพาวิถี,ปกติ,0,0,0,0,มองไม่เห็น
2018-11-03,21:49:49,บูรพาวิถี,ปกติ,0,2,0,0,ก้มเก็บสิ่งของ
2019-08-21,10:19:19,อุดรรัถยา,ปกติ,0,0,0,0,กลับรถไม่พ้น
2019-05-05,04:55:55,เฉลิมมหานคร,ปกติ,0,0,0,0,เสียหลัก
2019-08-04,20:40:40,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถในระยะกระชั้นชิด
2019-06-06,21:35:35,เฉลิมมหานคร,ฝนตก,0,0,1,0,เสียหลัก
2019-09-04,12:35:35,เฉลิมมหานคร,ปกติ,0,0,0,0,เข้าผิดช่องทาง
2019-08-28,07:32:32,เฉลิมมหานคร,ปกติ,1,0,0,0,ขับในระยะกระชั้นชิด
2019-06-10,06:40:40,เฉลิมมหานคร,ปกติ,0,0,0,0,ใช้ความเร็วในการเข้าโค้ง
2018-12-08,03:41:41,เฉลิมมหานคร,ปกติ,0,0,0,0,ย้อนออกด่าน
2019-04-02,09:01:01,เฉลิมมหานคร,ปกติ,2,0,0,0,เบรกกระทันหัน
2019-07-25,11:45:45,เฉลิมมหานคร,ปกติ,0,0,0,0,โรคประจำตัว
2018-12-24,10:50:50,เฉลิมมหานคร,ปกติ,0,1,0,0,ขับรถช้าลง
2019-08-06,20:23:23,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถในระยะกระชันชิด
