accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2018-03-20,18:07:07,ศรีรัช,ปกติ,0,0,0,0,เบรคกระทันหัน
2018-08-07,23:12:12,ศรีรัช,ปกติ,0,0,0,0,เข้าผิดช่องทาง
2018-05-30,08:34:34,ศรีรัช,ปกติ,0,0,0,0,ก้มเก็บเงิน
2017-11-22,16:51:51,ศรีรัช,ปกติ,0,0,0,0,ขับชิดขอบทางมาก
2018-06-27,08:12:12,ศรีรัช,ปกติ,0,0,0,0,ถอยเบียดแท่นปูน
2018-04-25,12:30:30,ศรีรัช,ปกติ,0,0,0,0,ขับชิดมากเกินไป
2018-06-10,13:29:29,ศรีรัช,ปกติ,0,1,0,0,เบรคกระทันหหัน
2017-10-24,06:36:36,ศรีรัช,ปกติ,0,0,0,0,ขับถอยหลัง
2017-11-29,07:03:03,ศรีรัช,ปกติ,0,1,0,0,ไม่ทันสังเกตุ
2018-05-17,14:03:03,ศรีรัช,ปกติ,0,0,0,0,ก้มหยิบของ
2018-05-19,23:18:18,ศรีรัช,ปกติ,0,0,0,0,ถอยหลังเข้าตู้ผิด
2018-06-23,00:15:15,ศรีรัช,ปกติ,0,0,0,0,ขับชิดขวามากเกินไป
2017-10-30,08:54:54,ศรีรัช,ปกติ,0,0,0,0,เบรคกระทันหัน
2018-03-17,15:59:59,ศรีรัช,ปกติ,0,0,0,0,เบรคกระทันหัน
2018-05-26,03:23:23,ศรีรัช,ปกติ,0,0,0,0,หยิบของในรถ
2017-10-14,06:39:39,ศรีรัช,ปกติ,0,0,0,0,ผู้ขับขี่ก้มหยิบของ
2017-11-28,20:27:27,ศรีรัช,ปกติ,0,0,0,0,ขับรถช้าลง
2017-12-21,21:12:12,ฉลองรัช,ปกติ,0,1,0,0,เชี่ยวชน
2018-08-02,11:19:19,ฉลองรัช,ปกติ,0,0,0,0,บรรทุกหนักเกินไป
2018-09-03,22:03:03,ฉลองรัช,ฝนตก,0,1,0,0,รอตรวจสอบ
2018-03-05,20:30:30,ฉลองรัช,ปกติ,0,0,0,0,ความร้อนขึ้นแล้วฟืนขับต่อ
2018-08-17,07:30:30,ฉลองรัช,ปกติ,1,0,0,0,จอดเลนฉุกเฉิน
2018-08-31,12:13:13,ฉลองรัช,ปกติ,0,0,1,0,เสียหลักพลิกคว่ำ
2018-07-04,13:58:58,ฉลองรัช,ปกติ,0,0,0,0,กระบะจอดช่วงทางโค้ง
2018-04-10,18:50:50,ฉลองรัช,ปกติ,1,3,0,0,ขับขี่ย้อนศร
2018-03-28,10:51:51,ฉลองรัช,ปกติ,0,0,0,0,กระระยะผิดก่อนเจ้าตู้2
2018-04-21,21:18:18,ฉลองรัช,ปกติ,0,0,0,0,ก้มเก็บสิ่งของในห้องโดยสาร
2017-10-07,01:40:40,ฉลองรัช,ปกติ,0,0,0,0,.
2017-11-15,14:05:05,ฉลองรัช,ปกติ,0,0,0,0,ชนท้าย
2018-09-16,14:26:26,ฉลองรัช,ฝนตก,0,0,0,0,ยางแตก
2018-09-22,19:50:50,ฉลองรัช,ปกติ,2,0,0,0,รอการตรวจสอบ
2017-10-17,01:35:35,บูรพาวิถี,ปกติ,0,0,0,0,มึนเมา
2017-10-21,11:00:00,บูรพาวิถี,ปกติ,0,0,0,0,ไม่ทราบสาเหตุ
2018-08-16,19:00:00,บูรพาวิถี,ปกติ,1,0,0,0,ผู้ขับขี่หมดสติ
2017-12-20,03:48:48,บูรพาวิถี,ปกติ,0,0,0,0,รถมีขนาดใหญ่เกินไป
2018-07-19,20:38:38,บูรพาวิถี,ปกติ,0,0,0,0,เข้าผิดช่องทาง
2017-10-12,20:30:30,บูรพาวิถี,ฝนตก,0,1,0,0,เบรคไม่ทัน
2018-05-24,15:45:45,บูรพาวิถี,ปกติ,3,0,0,0,วิ่งช่องฉุกเฉิน
2018-02-27,10:30:30,บูรพาวิถี,ปกติ,1,0,0,0,กระบะจอดตรวจสอบสิ่งของ
2017-10-11,04:38:38,อุดรรัถยา,ปกติ,0,0,0,0,ไฟฟ้าลัดวงจร
2018-06-17,17:35:35,อุดรรัถยา,ปกติ,0,0,0,0,เบรคกระทันหัน
2017-12-02,20:13:13,เฉลิมมหานคร,ปกติ,0,0,0,0,เพลิงไหม้
2017-10-22,10:15:15,เฉลิมมหานคร,ปกติ,0,0,0,0,เบรคกะทันหัน
2018-02-10,03:46:46,เฉลิมมหานคร,ปกติ,0,0,0,0,เสียหลัก
2018-07-01,19:02:02,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถประมาท
2018-08-02,18:13:13,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,บรรทุกยื่นล้ำ
2018-03-17,09:03:03,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถโดยประมาท
2017-10-27,11:13:13,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ล้อหลุดไปชนรถคู่กรณี
2018-08-30,11:39:39,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เบรคไม่ทัน
2017-10-20,11:59:59,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เสียหลัก
2018-02-24,15:37:37,บางพลี-สุขสวัสดิ์,ปกติ,1,1,0,0,ขับรถช้าลง
2017-11-28,07:51:51,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,ขับรถเร็วในช่องทางฉุกเฉิน
2017-10-20,06:34:34,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เสียหลัก
2018-05-22,09:06:06,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถประมาท
2017-12-01,06:24:24,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ยางแตก
2017-10-11,08:48:48,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เฉียวชนแล้วหลบหนี
2018-02-09,05:19:19,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เบรกติดล้อ
2018-01-01,03:54:54,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,ประมาท ขับรถเร็ว
2018-04-28,09:22:22,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ไม่มีอีซี่พาส
2018-05-09,09:03:03,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ก้มหยิบของ
2018-01-31,18:35:35,ศรีรัช-วงแหวนรอบนอก,ปกติ,1,0,0,0,กำลังจะไปช่วย ว.40 ขึ้นบรมฯ
2018-08-03,05:01:01,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,รถเบรกไม่อยู่
2017-11-30,16:24:24,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,0,0,0,วิ่งเลนฉุกเฉิน
2018-09-08,12:45:45,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,1,0,0,ขับรถช้าลง
2017-11-11,10:34:34,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,1,0,0,เดินรถไหล่ทางซ้าย
2017-12-03,08:21:21,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,1,0,0,เสียหลัก
2018-02-08,07:58:58,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,1,0,0,ล้อหลุดเสียหลักพลิกคว่ำ
2018-04-25,15:27:27,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ไม่ระมัดระวัง
2017-12-03,10:58:58,ฉลองรัช,ปกติ,2,0,0,0,ประมาท
2017-10-15,10:27:27,เฉลิมมหานคร,ปกติ,0,0,0,0,ประมาท
2018-05-26,19:26:26,เฉลิมมหานคร,ปกติ,2,0,0,0,ประมาท
2017-11-20,22:28:28,เฉลิมมหานคร,ปกติ,0,0,0,0,ประมาท
2018-06-09,18:39:39,เฉลิมมหานคร,ปกติ,0,21,0,0,ประมาท
2018-01-21,05:48:48,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ประมาท
2017-10-27,07:49:49,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,ประมาท
2018-06-19,09:22:22,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2018-02-15,01:12:12,ศรีรัช,ปกติ,1,0,0,0,หลับใน
2018-07-22,05:03:03,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2018-06-06,01:30:30,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2018-05-19,22:37:37,ศรีรัช,ปกติ,1,0,0,0,หลับใน
2018-01-31,23:32:32,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2017-12-23,03:16:16,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2018-04-28,06:34:34,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2017-11-24,14:34:34,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2018-07-17,05:52:52,ฉลองรัช,ฝนตก,1,0,0,0,หลับใน
2018-06-16,05:45:45,ฉลองรัช,ปกติ,0,0,0,0,หลับใน
2017-11-24,12:33:33,ฉลองรัช,ปกติ,0,1,0,0,หลับใน
2018-09-03,00:20:20,ฉลองรัช,ปกติ,0,0,0,0,หลับใน
2018-06-09,16:37:37,ฉลองรัช,ปกติ,0,0,0,0,หลับใน
2018-04-10,23:59:59,ฉลองรัช,ปกติ,1,0,0,0,หลับใน
2017-12-09,16:22:22,บูรพาวิถี,ปกติ,0,1,0,0,หลับใน
2018-05-10,15:30:30,บูรพาวิถี,ปกติ,0,0,0,0,หลับใน
2018-06-08,19:00:00,บูรพาวิถี,ปกติ,0,1,0,0,หลับใน
2018-01-27,14:30:30,บูรพาวิถี,ปกติ,5,0,0,0,หลับใน
2018-08-11,22:48:48,บูรพาวิถี,ปกติ,2,0,0,0,หลับใน
2018-08-25,23:53:53,บูรพาวิถี,ปกติ,2,0,0,0,หลับใน
2018-01-31,12:23:23,บูรพาวิถี,ปกติ,2,0,0,0,หลับใน
2018-07-02,07:03:03,บูรพาวิถี,ปกติ,0,0,0,0,หลับใน
2017-11-06,18:28:28,บูรพาวิถี,ปกติ,0,0,0,0,หลับใน
2018-06-19,01:40:40,บูรพาวิถี,ปกติ,0,0,0,0,หลับใน
2018-01-08,14:19:19,อุดรรัถยา,ปกติ,1,0,0,0,หลับใน
2018-04-23,08:56:56,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2018-06-23,11:45:45,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2018-03-10,01:39:39,อุดรรัถยา,ปกติ,0,1,0,0,หลับใน
2018-02-20,00:12:12,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2018-02-02,01:54:54,อุดรรัถยา,ปกติ,0,2,0,0,หลับใน
2018-08-06,05:59:59,อุดรรัถยา,ฝนตก,0,0,0,0,หลับใน
2018-07-13,01:30:30,อุดรรัถยา,ฝนตก,0,0,0,0,หลับใน
2018-03-09,21:05:05,อุดรรัถยา,ปกติ,1,0,0,0,หลับใน
2018-03-10,01:15:15,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2018-08-11,08:34:34,อุดรรัถยา,ปกติ,1,1,0,0,หลับใน
2018-09-22,08:35:35,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2018-04-20,06:18:18,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2017-12-28,02:14:14,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2017-10-12,03:45:45,เฉลิมมหานคร,ปกติ,0,0,0,0,หลับใน
2018-08-04,23:40:40,เฉลิมมหานคร,ปกติ,1,2,0,0,หลับใน
2018-09-02,00:25:25,เฉลิมมหานคร,ปกติ,1,0,0,0,หลับใน
2017-10-11,15:09:09,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
2017-12-13,06:30:30,บางพลี-สุขสวัสดิ์,ปกติ,2,0,0,0,หลับใน
2017-10-18,02:23:23,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,หลับใน
2018-02-17,03:58:58,บางพลี-สุขสวัสดิ์,ปกติ,2,0,0,0,หลับใน
2018-06-16,05:30:30,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
2018-04-23,02:48:48,บางพลี-สุขสวัสดิ์,ปกติ,0,4,0,0,หลับใน
2018-04-05,06:30:30,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
2017-11-03,03:05:05,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
2018-01-27,04:20:20,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
2018-09-10,14:29:29,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
2018-09-12,02:50:50,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
2018-04-26,03:41:41,บางพลี-สุขสวัสดิ์,ปกติ,2,0,0,0,หลับใน
2018-03-24,07:56:56,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
2018-03-17,00:38:38,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
2017-10-31,03:18:18,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,หลับใน
2018-03-01,06:38:38,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,หลับใน
2017-11-17,00:05:05,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,หลับใน
2017-12-03,05:26:26,ศรีรัช,ปกติ,1,0,0,0,โรคประจำตัว
2018-06-30,15:01:01,ศรีรัช,ปกติ,0,0,0,0,โรคประจำตัว
2018-02-04,00:16:16,ศรีรัช,ปกติ,0,0,0,0,โรคประจำตัว
2018-02-10,07:13:13,บูรพาวิถี,ปกติ,1,0,0,0,โรคประจำตัว
2018-02-13,09:34:34,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,1,0,0,โรคประจำตัว
2017-10-16,08:16:16,S1,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-08-08,21:28:28,S1,ปกติ,2,0,0,0,ขับรถเร็วเกินไป
2018-06-22,07:30:30,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-04-01,21:37:37,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-20,22:39:39,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-10-24,13:53:53,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-10-19,13:15:15,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2018-05-09,06:13:13,ศรีรัช,ปกติ,2,0,0,0,ขับรถเร็วเกินไป
2018-05-29,20:15:15,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-03,01:56:56,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-10-30,15:27:27,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-08-26,07:13:13,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2018-06-09,16:28:28,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-10-22,01:11:11,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2018-03-21,08:21:21,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-09-29,00:16:16,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2018-02-27,11:46:46,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-08,06:08:08,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-03-25,01:03:03,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-10-16,23:07:07,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-22,11:30:30,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-11-27,21:48:48,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2017-11-20,13:12:12,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-11-30,16:03:03,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-05-19,21:25:25,ศรีรัช,ปกติ,5,4,0,0,ขับรถเร็วเกินไป
2017-10-16,15:46:46,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-05-27,02:01:01,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-14,12:58:58,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-05-26,21:50:50,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-05-21,00:34:34,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-07-28,03:53:53,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-11-09,18:58:58,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-03-08,19:55:55,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-02-27,18:27:27,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-09-15,14:50:50,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-06-02,10:30:30,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-02-17,10:29:29,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-11,00:34:34,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-21,00:05:05,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-11-06,20:10:10,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-10,16:33:33,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-12-13,17:03:03,ศรีรัช,ปกติ,2,0,0,0,ขับรถเร็วเกินไป
2017-11-27,20:04:04,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-04-04,00:02:02,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-11-20,23:40:40,ศรีรัช,ปกติ,6,1,0,0,ขับรถเร็วเกินไป
2017-10-14,17:09:09,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-10-21,12:47:47,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-04-03,23:00:00,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-10-03,13:57:57,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2017-11-15,21:33:33,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2018-05-19,03:54:54,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2017-11-12,02:02:02,ศรีรัช,ปกติ,3,0,0,0,ขับรถเร็วเกินไป
